Model,DataFrame,Accuracy,Precision,Recall,F1-Score
Logistic Regression,Summarized,0.33035714285714285,0.36655912725851547,0.33035714285714285,0.33777457298798763
Logistic Regression,Rate Change,0.5669642857142857,0.6001702193496035,0.5669642857142857,0.5717923776262889
Logistic Regression,Normalized,0.41964285714285715,0.4370181925802535,0.41964285714285715,0.4201345106826607
KNN,Summarized,0.32142857142857145,0.38254914426789427,0.32142857142857145,0.31923098109360326
KNN,Rate Change,0.41517857142857145,0.50098551212938,0.41517857142857145,0.4178735089161867
KNN,Normalized,0.39732142857142855,0.42521420827576695,0.39732142857142855,0.395403601783828
Random Forest,Summarized,0.45982142857142855,0.4620709647495362,0.45982142857142855,0.45514149104051455
Random Forest,Rate Change,0.6919642857142857,0.6670668854018583,0.6919642857142857,0.6745893959435626
Random Forest,Normalized,0.5401785714285714,0.5291984591499592,0.5401785714285714,0.5257608887710928
Gradient Boosting,Summarized,0.53125,0.5367625806512142,0.53125,0.5233916824191654
Gradient Boosting,Rate Change,0.5535714285714286,0.5466109063538206,0.5535714285714286,0.5406255868782468
Gradient Boosting,Normalized,0.46875,0.461205336094834,0.46875,0.45827135119998574
SVM,Summarized,0.40625,0.4342419191423996,0.40625,0.4136090440715493
SVM,Rate Change,0.5401785714285714,0.5833981556637806,0.5401785714285714,0.5493160448892933
SVM,Normalized,0.5401785714285714,0.5833981556637806,0.5401785714285714,0.5493160448892933
